benchmark_set	population	reference_method	comparator_method	metric	higher_is_better	n_complexes	n_paired_contributing	estimate_reference_minus_comparator	ci95_reference_minus_comparator_low	ci95_reference_minus_comparator_high	estimate_favorable_to_reference	ci95_favorable_low	ci95_favorable_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	54	50	-0.630559871855038	-1.3590494066378385	-0.0009258650763202485	0.630559871855038	0.0009258650763201544	1.3590494066378387	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	54	54	-0.07407407407407407	-0.14814814814814814	-0.018518518518518517	0.07407407407407407	0.018518518518518517	0.14814814814814814	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	54	54	-0.07407407407407407	-0.14814814814814814	-0.018518518518518517	0.07407407407407407	0.018518518518518517	0.14814814814814814	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top1_success_rate	True	54	54	0.14814814814814814	0.0	0.2962962962962963	0.14814814814814814	0.0	0.2962962962962963	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top3_success_rate	True	54	54	0.05555555555555555	-0.05555555555555555	0.16666666666666666	0.05555555555555555	-0.05555555555555555	0.16666666666666666	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	top5_success_rate	True	54	54	0.018518518518518517	-0.07407407407407407	0.1111111111111111	0.018518518518518517	-0.07407407407407407	0.1111111111111111	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	mrr_first_lt2	True	54	54	0.08747188700251109	-0.009271797345647391	0.18335464916087235	0.08747188700251109	-0.009271797345647391	0.18335464916087235	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	ndcg_at_10	True	54	54	0.07691075077698677	0.018672600861658666	0.13859929574976043	0.07691075077698677	0.018672600861658666	0.13859929574976043	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	mean_regret_A_scored	False	54	54	-1.3668817821602814	-2.337497731462837	-0.5117300092145286	1.3668817821602814	0.5117300092145286	2.3374977314628356	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	complex_failure_rate	False	54	54	0.0	0.0	0.0	-0.0	-0.0	-0.0	10000	10000	20261007
Yan72	rankable_lt2	SurfNA-scorer0	rDock-26.05-alpha	pose_score_failure_rate	False	54	54	0.0	0.0	0.0	-0.0	-0.0	-0.0	10000	10000	20261007
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top1_success_rate	True	52	52	0.15384615384615385	0.0	0.3076923076923077	0.15384615384615385	0.0	0.3076923076923077	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top3_success_rate	True	52	52	0.11538461538461539	0.0	0.23076923076923078	0.11538461538461539	0.0	0.23076923076923078	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	AutoDock-Vina-1.2.7	top5_success_rate	True	52	52	0.057692307692307696	-0.057692307692307696	0.17307692307692307	0.057692307692307696	-0.057692307692307696	0.17307692307692307	10000	10000	20261106
