benchmark_set	population	method	metric	higher_is_better	n_complexes	n_contributing	estimate	ci95_low	ci95_high	bootstrap_draws_requested	bootstrap_draws_defined	bootstrap_seed
Ruiz52	full	PLANTS-CHEMPLP-1.2	top5_success_rate	True	52	52	0.5192307692307693	0.38461538461538464	0.6538461538461539	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	52	52	0.41374389499389497	0.2988782051282052	0.5352571733821735	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	52	52	0.5808749548619572	0.5033520799513637	0.6533225378542732	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	52	50	1.9605219125074889	1.3329303871929015	2.6606989542580504	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	52	52	0.038461538461538464	0.0	0.09615384615384616	10000	10000	20261106
Ruiz52	full	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	52	52	0.038461538461538464	0.0	0.09615384615384616	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	top1_success_rate	True	52	52	0.4230769230769231	0.28846153846153844	0.5576923076923077	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	top3_success_rate	True	52	52	0.5192307692307693	0.38461538461538464	0.6538461538461539	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	top5_success_rate	True	52	52	0.5192307692307693	0.38461538461538464	0.6538461538461539	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	mrr_first_lt2	True	52	52	0.4745691630307015	0.34831090739744586	0.607065688940689	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	ndcg_at_10	True	52	52	0.6919770656612271	0.6230624603135168	0.7550801825373032	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	mean_regret_A_scored	False	52	52	1.3693470555555598	0.8631483358317092	1.955877922916741	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	complex_failure_rate	False	52	52	0.0	0.0	0.0	10000	10000	20261106
Ruiz52	full	SurfNA-scorer0	pose_score_failure_rate	False	52	52	0.0	0.0	0.0	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	top1_success_rate	True	52	52	0.23076923076923078	0.11538461538461539	0.34615384615384615	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	top3_success_rate	True	52	52	0.34615384615384615	0.21153846153846154	0.4807692307692308	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	top5_success_rate	True	52	52	0.4423076923076923	0.3076923076923077	0.5769230769230769	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	mrr_first_lt2	True	52	52	0.3255275742775743	0.22085533679283678	0.43791573819698826	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	ndcg_at_10	True	52	52	0.557089711659202	0.4754278899615945	0.6382269556259553	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	mean_regret_A_scored	False	52	52	2.5530188070158037	1.8359869100631345	3.2988032134330285	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	complex_failure_rate	False	52	52	0.0	0.0	0.0	10000	10000	20261106
Ruiz52	full	rDock-26.05-alpha	pose_score_failure_rate	False	52	52	0.0	0.0	0.0	10000	10000	20261106
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	top1_success_rate	True	32	32	0.4375	0.28125	0.5945312499999886	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	top3_success_rate	True	32	32	0.65625	0.5	0.8125	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	top5_success_rate	True	32	32	0.75	0.59375	0.875	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	mrr_first_lt2	True	32	32	0.5773423971861472	0.44093504802489186	0.712451552353896	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	ndcg_at_10	True	32	32	0.6045859402513073	0.51173771496534	0.6927070338480369	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	mean_regret_A_scored	False	32	31	1.8263700331090553	1.103251855027705	2.656183579655988	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	complex_failure_rate	False	32	32	0.03125	0.0	0.09375	10000	10000	20261107
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	pose_score_failure_rate	False	32	32	0.03203125	0.0	0.0953125	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	top1_success_rate	True	32	32	0.53125	0.34375	0.6875	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	top3_success_rate	True	32	32	0.78125	0.625	0.90625	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	top5_success_rate	True	32	32	0.84375	0.71875	0.96875	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	mrr_first_lt2	True	32	32	0.6723338293650793	0.5412465897817461	0.8003720238095238	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	ndcg_at_10	True	32	32	0.6369618621569137	0.5489982357768621	0.7216412071226981	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	mean_regret_A_scored	False	32	31	1.6816895717561986	0.941226179620279	2.531586567981562	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	complex_failure_rate	False	32	32	0.03125	0.0	0.09375	10000	10000	20261107
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	pose_score_failure_rate	False	32	32	0.03125	0.0	0.09375	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	top1_success_rate	True	32	32	0.6875	0.53125	0.84375	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	top3_success_rate	True	32	32	0.84375	0.71875	0.96875	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	top5_success_rate	True	32	32	0.84375	0.71875	0.96875	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	mrr_first_lt2	True	32	32	0.7711748899248899	0.6423268745143744	0.8902296401515151	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	ndcg_at_10	True	32	32	0.7690327160830858	0.705252702269534	0.8282424023051516	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	mean_regret_A_scored	False	32	32	0.7243411604070722	0.3130177469678236	1.261719708371232	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	complex_failure_rate	False	32	32	0.0	0.0	0.0	10000	10000	20261107
Ruiz52	rankable_lt2	SurfNA-scorer0	pose_score_failure_rate	False	32	32	0.0	0.0	0.0	10000	10000	20261107
Ruiz52	rankable_lt2	rDock-26.05-alpha	top1_success_rate	True	32	32	0.375	0.21875	0.53125	10000	10000	20261107
Ruiz52	rankable_lt2	rDock-26.05-alpha	top3_success_rate	True	32	32	0.5625	0.40625	0.71875	10000	10000	20261107
Ruiz52	rankable_lt2	rDock-26.05-alpha	top5_success_rate	True	32	32	0.71875	0.5625	0.875	10000	10000	20261107
Ruiz52	rankable_lt2	rDock-26.05-alpha	mrr_first_lt2	True	32	32	0.5289823082010582	0.3971084242724867	0.663034164186508	10000	10000	20261107
