id	path	availability	sha256	bytes	seed	epoch	config	public_download_url
figure4/transfer_all/seed0/ema025.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema025.pt	local_research_archive_not_in_lightweight_release	65c0c9701f70649583855cd62a03e1431af2c68ad95657ea6cb04457d8135123	76370706	0	25	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema050.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema050.pt	local_research_archive_not_in_lightweight_release	b8f7d70cc182600876a5f16e3425099151422aead6e0e4ab35bd14d8d966f922	76370706	0	50	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema075.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema075.pt	local_research_archive_not_in_lightweight_release	286cf0f8f068f282fb902962454f995439860bf6650075c1041d96a8cf7e786b	76370706	0	75	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema100.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema100.pt	local_research_archive_not_in_lightweight_release	86849911b77243cc96f9cc35e0ef08e310367ae0621c4f665a1ad83932f646ae	76370706	0	100	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema125.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema125.pt	local_research_archive_not_in_lightweight_release	37ecf2ee7a5ad8ad9ff7202daa0dff92e77f7d6f63b78dc5c1617897e59591bb	76370706	0	125	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema150.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema150.pt	local_research_archive_not_in_lightweight_release	f1e8b4ae0eeadb6530995c482379210652ddb9d9b7177b1bd267c358a5f2fd5b	76370706	0	150	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema175.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema175.pt	local_research_archive_not_in_lightweight_release	6ededdae9666e536e1d531a64061cb0522bcff1498957b7fa6d92c266c5a520a	76370706	0	175	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed0/ema200.pt	reproducibility/checkpoints/figure4/transfer_all/seed0/ema200.pt	local_research_archive_not_in_lightweight_release	6741c45dc4f68d48a8debceb04f5cbeb70519e513f1a75d0c6a21836213a2d85	76370706	0	200	configs/paper/figure4/transfer_all/seed0/parameters.yml	
figure4/transfer_all/seed1/ema025.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema025.pt	local_research_archive_not_in_lightweight_release	fea001aeea3593748a36ec166e6e08d7991e33b3ca878f409c65277ec5757033	76370706	1	25	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema050.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema050.pt	local_research_archive_not_in_lightweight_release	35e334c446d6668a0d897a6e641a89c135addce10ed9111824cc4769996162d5	76370706	1	50	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema075.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema075.pt	local_research_archive_not_in_lightweight_release	36ced139de06b1378c879b1621df05ffab7b6d340d8d7439727015792769a42b	76370706	1	75	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema100.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema100.pt	local_research_archive_not_in_lightweight_release	900b175dfe2b2cc3f1c7e7de7c36cf926ddf09a428eb402eb694602e4a373c3c	76370706	1	100	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema125.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema125.pt	local_research_archive_not_in_lightweight_release	00d270f4789fe50a1e7013321720ddb79190f38e64b648403c95d5e335bb86cf	76370706	1	125	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema150.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema150.pt	local_research_archive_not_in_lightweight_release	8fd1e987e60d35ffb64610d7e4fb03815ff4dde067cb3f0fc70e5d5a32f4384a	76370706	1	150	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema175.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema175.pt	local_research_archive_not_in_lightweight_release	f82ada3245effa058aa2edd0a9d970adaf53357b6f9147cc86fe4bcb0b119116	76370706	1	175	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed1/ema200.pt	reproducibility/checkpoints/figure4/transfer_all/seed1/ema200.pt	local_research_archive_not_in_lightweight_release	09b4dd5a0a7187f520bc5dc187679d04649136e89ff794b32b7822303c52e1ca	76370706	1	200	configs/paper/figure4/transfer_all/seed1/parameters.yml	
figure4/transfer_all/seed2/ema025.pt	reproducibility/checkpoints/figure4/transfer_all/seed2/ema025.pt	local_research_archive_not_in_lightweight_release	6600b33058bf26d2b65819831f7ce9df8728cdcd8c388485be44a7651dca36a5	76370706	2	25	configs/paper/figure4/transfer_all/seed2/parameters.yml	
figure4/transfer_all/seed2/ema050.pt	reproducibility/checkpoints/figure4/transfer_all/seed2/ema050.pt	local_research_archive_not_in_lightweight_release	c2a40453e42c737aeefb8b5c445315f42993d4a090649b7d0333f1da973869e4	76370706	2	50	configs/paper/figure4/transfer_all/seed2/parameters.yml	
