subset	fraction_pct	left	right	metric	difference_left_minus_right	ci95_low	ci95_high	unit	bootstrap_draws	resampling	ci_status	finite_bootstrap_draws
All128	25	Transfer-NonSurface	LeDock	pose_density_lt2_pct	-16.822916666666664	-22.369791666666668	-11.588541666666668	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	LeDock	coverage_k10_lt2_pct	-12.760416666666664	-21.875	-3.90625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	LeDock	median_best_rmsd_A	0.43539197087029047	0.07541080883371812	0.7414314157583123	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	LeDock	valid_fraction_pct	6.276041666666671	3.0208333333333286	10.0	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	PLANTS	pose_density_lt2_pct	0.5208333333333339	-1.953125	2.890625000000001	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	PLANTS	coverage_k10_lt2_pct	-4.6875	-13.020833333333332	3.6458333333333357	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	PLANTS	median_best_rmsd_A	-0.831083195796376	-1.3958065853782324	-0.12387113833307965	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	PLANTS	valid_fraction_pct	10.15625	5.46875	15.625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	AutoDock-GPU	pose_density_lt2_pct	-3.463541666666667	-6.848958333333332	-0.36458333333333215	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	AutoDock-GPU	coverage_k10_lt2_pct	-1.5625	-9.635416666666664	6.2500000000000036	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	AutoDock-GPU	median_best_rmsd_A	-0.28817026412970925	-0.841844626857595	0.07871605905340223	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	25	Transfer-NonSurface	AutoDock-GPU	valid_fraction_pct	4.6875	1.5625	8.59375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Vina	pose_density_lt2_pct	11.588541666666664	8.411458333333332	14.921875	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Vina	coverage_k10_lt2_pct	18.229166666666664	9.895833333333336	26.5625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Vina	median_best_rmsd_A	-1.4293232727942071	-2.077373337411872	-0.5670407888470478	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	Vina	valid_fraction_pct	17.1875	10.9375	23.69791666666667	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	rDock	pose_density_lt2_pct	-7.161458333333336	-13.489583333333332	-0.9895833333333321	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	rDock	coverage_k10_lt2_pct	16.92708333333333	7.8125	25.781250000000004	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	rDock	median_best_rmsd_A	-1.0862750194608737	-1.4623989717171022	-0.5202678365381299	Angstrom	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	rDock	valid_fraction_pct	0.78125	0.0	2.34375	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	LeDock	pose_density_lt2_pct	-6.796875	-12.136067708333334	-1.640625	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
All128	50	Transfer-All	LeDock	coverage_k10_lt2_pct	8.854166666666664	-0.2604166666666643	17.447916666666664	percentage_points	10000	independent_repeats_shared_complexes	POINTWISE_EXPLORATORY	10000
