benchmark_set	population	method	top_n	n_complexes	success_count	success_rate	success_pct	complex_failure_count	invalid_pose_count	ranking_policy
Yan72	full	AutoDock-Vina-1.2.7	9	72	48	0.6666666666666666	66.66666666666667	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	AutoDock-Vina-1.2.7	10	72	48	0.6666666666666666	66.66666666666667	1	72	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	1	72	34	0.4722222222222222	47.22222222222222	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	2	72	43	0.5972222222222222	59.72222222222222	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	3	72	43	0.5972222222222222	59.72222222222222	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	4	72	44	0.6111111111111112	61.111111111111114	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	5	72	45	0.625	62.5	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	6	72	46	0.6388888888888888	63.888888888888886	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	7	72	49	0.6805555555555556	68.05555555555556	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	8	72	49	0.6805555555555556	68.05555555555556	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	9	72	49	0.6805555555555556	68.05555555555556	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	rDock-26.05-alpha	10	72	50	0.6944444444444444	69.44444444444444	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	1	72	34	0.4722222222222222	47.22222222222222	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	2	72	35	0.4861111111111111	48.611111111111114	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	3	72	39	0.5416666666666666	54.166666666666664	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	4	72	43	0.5972222222222222	59.72222222222222	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	5	72	43	0.5972222222222222	59.72222222222222	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	6	72	44	0.6111111111111112	61.111111111111114	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	7	72	45	0.625	62.5	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	8	72	45	0.625	62.5	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	9	72	46	0.6388888888888888	63.888888888888886	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	full	PLANTS-CHEMPLP-1.2	10	72	46	0.6388888888888888	63.888888888888886	5	200	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	1	54	42	0.7777777777777778	77.77777777777777	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	2	54	45	0.8333333333333334	83.33333333333333	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	3	54	46	0.8518518518518519	85.18518518518519	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	4	54	46	0.8518518518518519	85.18518518518519	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	5	54	46	0.8518518518518519	85.18518518518519	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	6	54	46	0.8518518518518519	85.18518518518519	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	7	54	47	0.8703703703703703	87.03703703703704	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	8	54	47	0.8703703703703703	87.03703703703704	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	9	54	48	0.8888888888888888	88.88888888888889	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	SurfNA-scorer0	10	54	50	0.9259259259259259	92.5925925925926	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	1	54	29	0.5370370370370371	53.7037037037037	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	2	54	37	0.6851851851851852	68.51851851851852	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	3	54	41	0.7592592592592593	75.92592592592592	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	4	54	43	0.7962962962962963	79.62962962962963	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	5	54	45	0.8333333333333334	83.33333333333333	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	6	54	47	0.8703703703703703	87.03703703703704	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	7	54	47	0.8703703703703703	87.03703703703704	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	8	54	47	0.8703703703703703	87.03703703703704	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	9	54	48	0.8888888888888888	88.88888888888889	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	AutoDock-Vina-1.2.7	10	54	48	0.8888888888888888	88.88888888888889	1	53	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	1	54	34	0.6296296296296297	62.96296296296296	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	2	54	43	0.7962962962962963	79.62962962962963	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	3	54	43	0.7962962962962963	79.62962962962963	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	4	54	44	0.8148148148148148	81.48148148148148	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	5	54	45	0.8333333333333334	83.33333333333333	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	6	54	46	0.8518518518518519	85.18518518518519	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	7	54	49	0.9074074074074074	90.74074074074075	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	8	54	49	0.9074074074074074	90.74074074074075	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	9	54	49	0.9074074074074074	90.74074074074075	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
Yan72	rankable_lt2	rDock-26.05-alpha	10	54	50	0.9259259259259259	92.5925925925926	0	0	valid_score_ascending_then_invalid_then_pose_ordinal_ascending;whole_failure_zero
