benchmark_set	population	metric	top_n	n_complexes	total_pose_slots	near_native_pose_count	mean_near_native_poses_per_complex	rankable_complex_count	permutations	permutation_seed	estimate	estimate_pct	mean_success_count	randomization_p025	randomization_p975	analytic_expectation	mc_minus_analytic
Ruiz52	full	topn_success_rate	5	52	2080	298	5.730769230769231	32	10000	20260906	0.36381153846153846	36.38115384615384	18.9182	0.28846153846153844	0.4423076923076923	0.3637561865041622	5.535195737627063e-05
Ruiz52	full	topn_success_rate	6	52	2080	298	5.730769230769231	32	10000	20260906	0.393125	39.3125	20.4425	0.3076923076923077	0.4807692307692308	0.39271203456426124	0.00041296543573876576
Ruiz52	full	topn_success_rate	7	52	2080	298	5.730769230769231	32	10000	20260906	0.4170326923076923	41.70326923076923	21.6857	0.3269230769230769	0.5	0.417111740956704	-7.904864901170372e-05
Ruiz52	full	topn_success_rate	8	52	2080	298	5.730769230769231	32	10000	20260906	0.4380211538461538	43.802115384615384	22.777099999999997	0.36538461538461536	0.5192307692307693	0.4379545369900216	6.661685613218449e-05
Ruiz52	full	topn_success_rate	9	52	2080	298	5.730769230769231	32	10000	20260906	0.4559423076923077	45.59423076923077	23.709	0.38461538461538464	0.5384615384615384	0.45594639854322216	-4.090850914462152e-06
Ruiz52	full	topn_success_rate	10	52	2080	298	5.730769230769231	32	10000	20260906	0.47156538461538466	47.15653846153847	24.521400000000003	0.40384615384615385	0.5384615384615384	0.47161173103757836	-4.634642219369933e-05
Ruiz52	full	mrr_first_lt2		52	2080	298	5.730769230769231	32	10000	20260906	0.24444078449705534			0.18707679570585078	0.30819108279965335	0.2451796457289187	-0.0007388612318633692
Ruiz52	full	ndcg_at_10		52	2080	298	5.730769230769231	32	10000	20260906	0.4334900612686054			0.4004955530415584	0.4685194069648367	0.43374727531171586	-0.00025721404311046525
Ruiz52	rankable_lt2	topn_success_rate	1	32	1280	298	9.3125	32	10000	20260906	0.230971875	23.0971875	7.3911	0.125	0.375	0.2328125	-0.0018406250000000124
Ruiz52	rankable_lt2	topn_success_rate	2	32	1280	298	9.3125	32	10000	20260906	0.3678625	36.786249999999995	11.7716	0.25	0.5	0.36931089743589746	-0.001448397435897475
Ruiz52	rankable_lt2	topn_success_rate	3	32	1280	298	9.3125	32	10000	20260906	0.462540625	46.254062499999996	14.8013	0.3125	0.59375	0.46307565789473687	-0.0005350328947368865
Ruiz52	rankable_lt2	topn_success_rate	4	32	1280	298	9.3125	32	10000	20260906	0.5338125	53.38125	17.082	0.40625	0.6875	0.5341640223219171	-0.0003515223219170416
Ruiz52	rankable_lt2	topn_success_rate	5	32	1280	298	9.3125	32	10000	20260906	0.59119375	59.119375	18.9182	0.46875	0.71875	0.5911038030692636	8.994693073638427e-05
Ruiz52	rankable_lt2	topn_success_rate	6	32	1280	298	9.3125	32	10000	20260906	0.638828125	63.8828125	20.4425	0.5	0.78125	0.6381570561669245	0.0006710688330754389
Ruiz52	rankable_lt2	topn_success_rate	7	32	1280	298	9.3125	32	10000	20260906	0.677678125	67.7678125	21.6857	0.53125	0.8125	0.677806579054644	-0.0001284540546440116
Ruiz52	rankable_lt2	topn_success_rate	8	32	1280	298	9.3125	32	10000	20260906	0.711784375	71.1784375	22.7771	0.59375	0.84375	0.7116761226087851	0.00010825239121492469
Ruiz52	rankable_lt2	topn_success_rate	9	32	1280	298	9.3125	32	10000	20260906	0.74090625	74.090625	23.709	0.625	0.875	0.740912897632736	-6.647632736056508e-06
Ruiz52	rankable_lt2	topn_success_rate	10	32	1280	298	9.3125	32	10000	20260906	0.76629375	76.629375	24.5214	0.65625	0.875	0.7663690629360649	-7.531293606488632e-05
Ruiz52	rankable_lt2	mrr_first_lt2		32	1280	298	9.3125	32	10000	20260906	0.3972162748077149			0.30399979302200747	0.5008105095494366	0.3984169243094929	-0.0012006495017780061
Ruiz52	rankable_lt2	ndcg_at_10		32	1280	298	9.3125	32	10000	20260906	0.45145124088042676			0.4112592833854747	0.4931300720157629	0.45170430032996706	-0.0002530594495402938
Chen52	full	topn_success_rate	1	52	2080	390	7.5	38	10000	20260906	0.1867403846153846	18.674038461538462	9.7105	0.09615384615384616	0.28846153846153844	0.1875	-0.0007596153846153864
Chen52	full	topn_success_rate	2	52	2080	390	7.5	38	10000	20260906	0.30460384615384617	30.460384615384616	15.839400000000001	0.21153846153846154	0.40384615384615385	0.3049063116370809	-0.000302465483234704
Chen52	full	topn_success_rate	3	52	2080	390	7.5	38	10000	20260906	0.38535384615384616	38.535384615384615	20.0384	0.28846153846153844	0.4807692307692308	0.38493265337900967	0.0004211927748364874
Chen52	full	topn_success_rate	4	52	2080	390	7.5	38	10000	20260906	0.44308846153846154	44.308846153846154	23.0406	0.34615384615384615	0.5384615384615384	0.4427742052235979	0.0003142563148636479
Chen52	full	topn_success_rate	5	52	2080	390	7.5	38	10000	20260906	0.486526923076923	48.652692307692305	25.2994	0.40384615384615385	0.5769230769230769	0.4863735290101687	0.00015339406675429768
Chen52	full	topn_success_rate	6	52	2080	390	7.5	38	10000	20260906	0.5207711538461538	52.07711538461538	27.080099999999998	0.4423076923076923	0.5961538461538461	0.520305676834017	0.000465477012136839
Chen52	full	topn_success_rate	7	52	2080	390	7.5	38	10000	20260906	0.5476653846153846	54.76653846153846	28.4786	0.46153846153846156	0.6346153846153846	0.5473977330922437	0.00026765152314089935
Chen52	full	topn_success_rate	8	52	2080	390	7.5	38	10000	20260906	0.5697807692307693	56.97807692307693	29.628600000000002	0.5	0.6538461538461539	0.5694860807744828	0.00029468845628644047
Chen52	full	topn_success_rate	9	52	2080	390	7.5	38	10000	20260906	0.5878403846153846	58.78403846153846	30.5677	0.5192307692307693	0.6538461538461539	0.5878098891085615	3.0495506823102758e-05
Chen52	full	topn_success_rate	10	52	2080	390	7.5	38	10000	20260906	0.6033153846153846	60.33153846153846	31.3724	0.5384615384615384	0.6730769230769231	0.6032325820186938	8.280259669080081e-05
Chen52	full	mrr_first_lt2		52	2080	390	7.5	38	10000	20260906	0.3189416758676369			0.25247322726834703	0.3903608159073119	0.3192939904804868	-0.0003523146128499022
