benchmark_set	population	method	n_complexes	poses_per_complex	n_pose_slots	top1_success_count	top1_success_pct	top1_ci95_low_pct	top1_ci95_high_pct	top3_success_count	top3_success_pct	top3_ci95_low_pct	top3_ci95_high_pct	top5_success_count	top5_success_pct	top5_ci95_low_pct	top5_ci95_high_pct	mrr	mrr_ci95_low	mrr_ci95_high	mrr_n_contributing	ndcg_at_10	ndcg_at_10_ci95_low	ndcg_at_10_ci95_high	ndcg_at_10_n_contributing	mean_regret_A_scored	mean_regret_A_scored_ci95_low	mean_regret_A_scored_ci95_high	mean_regret_A_scored_n_contributing	complex_failure_count	complex_failure_pct	complex_failure_ci95_low_pct	complex_failure_ci95_high_pct	pose_score_failure_count	pose_score_valid_count	pose_score_failure_pct	pose_score_failure_ci95_low_pct	pose_score_failure_ci95_high_pct	ci_method
Ruiz52	rankable_lt2	SurfNA-scorer0	32	40	1280	22	68.75	53.125	84.375	27	84.375	71.875	96.875	27	84.375	71.875	96.875	0.7711748899248899	0.6423268745143744	0.8902296401515151	32	0.7690327160830858	0.705252702269534	0.8282424023051516	32	0.7243411604070722	0.3130177469678236	1.261719708371232	32	0	0.0	0.0	0.0	0	1280	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	rankable_lt2	AutoDock-Vina-1.2.7	32	40	1280	14	43.75	28.125	59.45312499999886	21	65.625	50.0	81.25	24	75.0	59.375	87.5	0.5773423971861472	0.44093504802489186	0.712451552353896	32	0.6045859402513073	0.51173771496534	0.6927070338480369	32	1.8263700331090553	1.103251855027705	2.656183579655988	31	1	3.125	0.0	9.375	41	1239	3.2031249999999996	0.0	9.53125	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	rankable_lt2	rDock-26.05-alpha	32	40	1280	12	37.5	21.875	53.125	18	56.25	40.625	71.875	23	71.875	56.25	87.5	0.5289823082010582	0.3971084242724867	0.663034164186508	32	0.6080929583840838	0.5156824710017134	0.6956037988049564	32	2.5336591816300733	1.6309333065672926	3.505135052433632	32	0	0.0	0.0	0.0	0	1280	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Ruiz52	rankable_lt2	PLANTS-CHEMPLP-1.2	32	40	1280	17	53.125	34.375	68.75	25	78.125	62.5	90.625	27	84.375	71.875	96.875	0.6723338293650793	0.5412465897817461	0.8003720238095238	32	0.6369618621569137	0.5489982357768621	0.7216412071226981	32	1.6816895717561986	0.941226179620279	2.531586567981562	31	1	3.125	0.0	9.375	40	1240	3.125	0.0	9.375	accepted_shared_complex_bootstrap_percentile_10000
Chen52	full	SurfNA-scorer0	52	40	2080	27	51.92307692307693	38.46153846153847	65.38461538461539	34	65.38461538461539	51.92307692307693	78.84615384615384	34	65.38461538461539	51.92307692307693	78.84615384615384	0.5842428227043611	0.45982864891518743	0.7055404887135656	52	0.7111714294283321	0.6398252555242767	0.7798304715173889	52	1.1183759666767499	0.6556909970344116	1.6379920719596843	52	0	0.0	0.0	0.0	0	2080	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Chen52	full	AutoDock-Vina-1.2.7	52	40	2080	19	36.53846153846153	23.076923076923077	50.0	26	50.0	36.53846153846153	63.46153846153846	28	53.84615384615385	40.38461538461539	67.3076923076923	0.4534172771672772	0.33526079822954813	0.5725671169108668	52	0.6054185527943299	0.5287067096506125	0.680167638163524	52	1.78966200859767	1.2285791943880464	2.4017215445816924	51	1	1.9230769230769231	0.0	5.769230769230769	49	2031	2.3557692307692313	0.14423076923076927	6.346153846153848	accepted_shared_complex_bootstrap_percentile_10000
Chen52	full	rDock-26.05-alpha	52	40	2080	16	30.76923076923077	19.230769230769234	44.230769230769226	23	44.230769230769226	30.76923076923077	57.692307692307686	27	51.92307692307693	38.46153846153847	65.38461538461539	0.411365755703991	0.2975172847985348	0.5266851507697095	52	0.6208211110598802	0.5386903244313974	0.7008168276266827	52	2.080415523097614	1.4409509673255556	2.750323898358775	52	0	0.0	0.0	0.0	0	2080	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Chen52	full	PLANTS-CHEMPLP-1.2	52	40	2080	18	34.61538461538461	21.153846153846153	48.07692307692308	25	48.07692307692308	34.61538461538461	61.53846153846154	29	55.769230769230774	42.30769230769231	69.23076923076923	0.4331425518925519	0.31628930097680097	0.5541678113553113	52	0.5959254113040399	0.5124095853387769	0.6741606480557946	52	1.7943398315406036	1.170336314468589	2.4719552139688115	49	3	5.769230769230769	0.0	13.461538461538462	120	1960	5.769230769230769	0.0	13.461538461538462	accepted_shared_complex_bootstrap_percentile_10000
Chen52	rankable_lt2	SurfNA-scorer0	38	40	1520	27	71.05263157894737	55.26315789473685	84.21052631578947	34	89.47368421052632	78.94736842105263	97.36842105263158	34	89.47368421052632	78.94736842105263	97.36842105263158	0.7994901784375469	0.6924707602339181	0.896761133603239	38	0.7658734595216711	0.7045015645689581	0.8217041641970578	38	0.7378265877849832	0.3355254358794587	1.2330580363122838	38	0	0.0	0.0	0.0	0	1520	0.0	0.0	0.0	accepted_shared_complex_bootstrap_percentile_10000
Chen52	rankable_lt2	AutoDock-Vina-1.2.7	38	40	1520	19	50.0	34.21052631578947	65.78947368421053	26	68.42105263157895	52.63157894736842	81.57894736842105	28	73.68421052631578	57.89473684210527	86.8421052631579	0.6204657477025899	0.4934261695906432	0.7472022765246449	38	0.6024821815926894	0.5191836485318461	0.6823505043677911	38	1.735089235451041	1.082239598270293	2.428229452534281	37	1	2.631578947368421	0.0	7.894736842105263	46	1474	3.026315789473684	0.13157894736842105	8.486842105263156	accepted_shared_complex_bootstrap_percentile_10000
